filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
hurs_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,hurs_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw,hurs,historical,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw,hurs,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,hurs_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw,hurs,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,hurs_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw,hurs,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
hurs_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,hurs_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw,hurs,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,%,Average relative humidity,%,Daily mean 2m relative humidity
PEDsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PEDsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,PEDsrad,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,PEDsrad,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,PEDsrad,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,PEDsrad,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PEDsrad_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PEDsrad_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,PEDsrad,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm,Potential Evapotranspiration Deficit (PED),mm,Daily Potential Evapotranspiration Deficit
PETsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PETsrad_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,PETsrad,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,PETsrad,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,PETsrad,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,PETsrad,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,PETsrad,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
pr_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,historical,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
